id_ingreso;nombre_ingreso;nombre_planta;producto;zona;tipo_ingreso;almacen_verano;almacen_invierno;cosecha_compra;mes_planificado;volumen
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;12;7000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;13;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;14;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;15;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;16;11000,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;1;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;2;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;3;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;4;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;5;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;6;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;7;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;8;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;9;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;10;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;11;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;12;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;13;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;14;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;15;0,0
ing11;Compras en predio (OC);Nueva_aldea;EUNI;chillan;directo_almacen;alm8;alm8;compras;16;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;1;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;2;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;3;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;4;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;5;12158,033333333333
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;6;12158,033333333333
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;7;12158,033333333333
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;8;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;9;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;10;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;11;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;12;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;13;0,0
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;14;27794,7
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;15;27794,7
ing12;Cosecha Zona constitución;Nueva_aldea;EUNI;constitucion;directo_planta;N_A;N_A;cosecha;16;27794,7
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;1;0,0
